Key,English(en),Korean(ko)
UI_Local_001,,새 게임
UI_Local_002,,이어하기
UI_Local_003,,설정
UI_Local_004,,크레딧
UI_Local_005,,종료
UI_Local_006,,이어하기
UI_Local_007,,슬롯 1
UI_Local_008,,슬롯 2
UI_Local_009,,저장된 데이터가 없습니다
UI_Local_010,,저장 위치
UI_Local_011,,플레이 타임
UI_Local_012,,저장 일시
UI_Local_013,,슬롯 삭제
UI_Local_014,,게임 시작
UI_Local_015,,돌아가기
UI_Local_016,,새 게임 시작 시 기존 저장 데이터가 초기화됩니다
UI_Local_017,,"이전에 진행하던 게임을 덮어쓰고 새로 시작하시겠습니까?
이 작업은 되돌릴 수 없습니다"
UI_Local_018,,옵션
UI_Local_019,,음향
UI_Local_020,,배경음악
UI_Local_021,,효과음
UI_Local_022,,화면
UI_Local_023,,창 화면
UI_Local_024,,전체 화면
UI_Local_025,,적용
UI_Local_026,,취소
UI_Local_027,,해당 슬롯을 삭제하시겠습니까?
UI_Local_028,,이 작업은 되돌릴 수 없습니다
UI_Local_029,,계속하기
UI_Local_030,,저장하기
UI_Local_032,,메인화면으로
UI_Local_033,,저장하기
UI_Local_034,,저장
UI_Local_035,,슬롯 NUMBER에 데이터를 저장하시겠습니까?
UI_Local_036,,이 작업은 되돌릴 수 없습니다
UI_Local_037,,저장 중...
UI_Local_038,,게임 데이터를 저장하였습니다
UI_Local_039,,슬롯 NUMBER에 데이터를 덮어쓰시겠습니까?
UI_Local_040,,이 작업은 되돌릴 수 없습니다
UI_Local_041,,대화하기
UI_Local_042,,조사하기
UI_Local_043,,열기
UI_Local_044,,진입하기
UI_Local_045,,사용하기
UI_Local_046,,자세히 보시겠습니까?
UI_Local_047,,열기
UI_Local_048,,사용하기
UI_Local_049,,선택
UI_Local_050,,다음 페이지로 이동
UI_Local_051,,회전
UI_Local_052,,확대/축소
UI_Local_053,,연구원의 이름은?
UI_Local_054,,사용불가
UI_Local_055,,반납하기
UI_Local_056,,닥터 로만 레인 \n<size=15>(제목없음)</size>
UI_Local_057,,데이비드 에드윈\n<size=15>너 지금 괜찮은 거 맞니? 제발 소식...</size>
UI_Local_058,,데일리 뉴스\n<size=15>[주간 헤드라인] 정신 능력 연구소의...</size>
UI_Local_059,,순서대로 정리 좀 하고 살자!
UI_Local_062,,처음으로
UI_Local_063,,슬롯
UI_Local_064,,게임을 종료하시겠습니까?
